#Id|Instrument Name |Type|Band       |Telescope         |Homepage                                                                                                            |Remarks                                                                                                                                                                                 |Last Modified|Modified By
115|WiFeS           |spec|optical    |ANU 2,3m          |http://rsaa.anu.edu.au/observers/observing-rsaa/wifes-information-observers                                         |Wide-Field Spectrograph (integral field)                                                                                                                                                |2012-11-01   |ofer       
116|FIRE            |spec|ir         |Magellan-Baade    |http://web.mit.edu/~rsimcoe/www/FIRE/                                                                               |Folded port InfraRed Echellette                                                                                                                                                         |2013-04-21   |ofer       
117|RSS             |spec|uv+optical |SALT              |http://www.salt.ac.za/telescope/instrumentation/rss/                                                                |THE ROBERT STOBIE SPECTROGRAPH (Previously known as the Prime Focus Imaging Camera)                                                                                                     |2013-05-13   |ofer       
118|HRS-SALT        |spec|uv+optical |SALT              |http://www.salt.ac.za/telescope/instrumentation/hrs/                                                                |SALT High Resolution Spectrograph                                                                                                                                                       |2017-07-20   |ofer       
119|G-Spec          |spec|optical    |SAAO              |http://www.saao.ac.za/facilities/instruments/grating-spectrograph/                                                  |Grating Spectrograph                                                                                                                                                                    |2014-11-11   |admin      
120|MODS1           |both|uv+optical |LBT               |http://www.astronomy.ohio-state.edu/MODS/                                                                           |The Multi-Object Double Spectrographs for the Large Binocular Telescope                                                                                                                 |2013-08-08   |stefana    
121|MODS2           |both|uv+optical |LBT               |http://www.astronomy.ohio-state.edu/MODS/                                                                           |The Multi-Object Double Spectrographs for the Large Binocular Telescope                                                                                                                 |2013-08-08   |stefana    
122|SpeX            |both|ir         |IRTF              |http://irtfweb.ifa.hawaii.edu/~spex/                                                                                |0.8-5.5 Micron Medium-Resolution Spectrograph and Imager                                                                                                                                |2013-09-11   |ofer       
123|HET-HRS         |spec|optical    |HET               |http://hydra.as.utexas.edu/?a=help&h=34                                                                             |High Resolution Spectrograph. R = 15000 to 120000.                                                                                                                                      |2013-10-17   |ofer       
124|HET-MRS         |spec|optical    |HET               |http://hydra.as.utexas.edu/?a=help&h=13                                                                             |Medium-Resolution Spectrograph. R = 5000 to 7000.                                                                                                                                       |2013-10-17   |ofer       
125|FLOYDS-S        |spec|optical    |FTS               |http://lcogt.net/press/floyds2012                                                                                   |                                                                                                                                                                                        |2013-10-20   |ofer       
126|RATIR           |phot|optical+nir|SPM15             |http://ratir.astroscu.unam.mx/public/wiki/InstrumentAndTelescopeSummary#Telescope                                   |multi-channel imager for the OAN/SPM 1.5-meter Johnson telescope                                                                                                                        |2013-12-01   |ofer       
127|Goodman         |spec|optical+nir|SOAR              |http://www.soartelescope.org/observing/goodman-high-throughput-spectrograph                                         |                                                                                                                                                                                        |2014-01-19   |ilanm      
128|LUCI            |spec|optical+nir|LBT               |http://www.mpe.mpg.de/ir/lucifer                                                                                    |Previously called LUCIFER                                                                                                                                                               |2014-02-11   |ilanm      
129|LIRIS           |both|optical+nir|WHT-4.2m          |http://www.ing.iac.es/astronomy/instruments/liris/                                                                  |                                                                                                                                                                                        |2014-02-11   |ilanm      
