# sample xephem sites file.
#
# The format of this file is compatable with the xsat program and the
# cities included here are from the sample included therewith. Xsat included
# the following notice:
#
#   Copyright 1992 by David A. Curry
#
#   Permission to use, copy, modify, distribute, and sell this software and its
#   documentation for any purpose is hereby granted without fee, provided that
#   the above copyright notice appear in all copies and that both that copyright
#   notice and this permission notice appear in supporting documentation.  The
#   author makes no representations about the suitability of this software for
#   any purpose.  It is provided "as is" without express or implied warranty.
#
# Most of the observatory sites are transcribed, with permission, from the table
# beginning on page 28 in the July 1993 issue of Sky and Telescope. Any 
# descrepencies or unfaithful interpretations of the information provided
# therein are strictly the fault of the author of xephem.
#
# The following description of the format of this file is extracted from the
# xsat software. All lines not conforming to the following description are
# silently ignored.
#
# The first column contains the name of the site, up to the first semicolon.
#
# The second column gives the latitude of the city in degrees (DDD),
# minutes (MM), and seconds (SS), and a N or S to indicate north or
# south of the equator.  If you don't know the value for seconds,
# use "00".
#
# The third column gives the longitude of the city in degrees (DDD),
# minutes (MM), and seconds (SS), and a E or W to indicate east or
# west of the prime meridian in Greenwich, England.  If you don't
# know the value for seconds, use "00".
#
# The fourth column gives the elevation of the city in meters.  If you
# do not know your elevation, use a "-1.0".  This will throw the math
# off a bit, but should be usable unless you're on a mountain top.
#
# Information for cities in the United States is taken from the World
# Almanac, 1990.  Information for cities outside the United States is
# gleaned from the UUCP map database, and hence may or may not be
# correct.
#
# If your site is not listed in the table below, you can try consulting
# an atlas, almanac, or gazeteer for the information.  Or, you could
# call the local airport; they ought to know.
# 
# City, State or Country, or site name  ; Latitude      ; Longitude     ; Elev
#
Davis Observatory, AAT                  ;  68 35  0 S   ;  77 58  0 E   ;  -1
Dayton, Ohio                            ;  39 45 32 N   ;  84 11 43 W   ; 307.6
Daytona Beach, Florida                  ;  29 12 44 N   ;  81  1 10 W   ;   2.1
Decatur, Illinois                       ;  39 50 42 N   ;  88 56 47 W   ; 207.9
Denver, Colorado                        ;  39 44 58 N   ; 104 59 22 W   ;1609.3
Des Moines, Iowa                        ;  41 35 14 N   ;  93 37  0 W   ; 245.4
Detroit, Michigan                       ;  42 19 48 N   ;  83  2 57 W   ; 211.3
Dodge City, Kansas                      ;  37 45 17 N   ; 100  1  9 W   ; 755.9
Dominion Astrophysical Observatory      ;  48 31 18 N   ; 123 25  0 W   ; 229
Dublin, Ireland                         ;  53 18 56 N   ;  06 14 21 W   ;  -1.0
Dubuque, Iowa                           ;  42 29 55 N   ;  90 40  8 W   ; 189.0
Duluth, Minnesota                       ;  46 46 56 N   ;  92  6 24 W   ; 185.9
Durham, North Carolina                  ;  36  0  0 N   ;  78 54 45 W   ; 123.4
ESO 1-meter Schmidt Telescope           ;  29 15  0 S   ;  70 44  0 W   ;2318
Eau Claire, Wisconsin                   ;  44 48 31 N   ;  91 29 49 W   ; 240.8
Edinburgh, Scotland                     ;  55 55  0 N   ;  03 10  0 W   ;  -1.0
Edmonton Alberta, Canada                ;  53 33 47 N   ; 113 36 48 W   ;  -1.0
Effelsberg 100m Radiotelescope          ;  50 31 36 N   ;  06 51 18 E   ;   369
El Paso, Texas                          ;  31 45 36 N   ; 106 29 11 W   ;1126.2
Elizabeth, New Jersey                   ;  40 39 43 N   ;  74 12 59 W   ;   6.4
Enid, Oklahoma                          ;  36 23 40 N   ;  97 52 35 W   ; 378.0
Erie, Pennsylvania                      ;  42  7 15 N   ;  80  4 57 W   ; 208.8
Eugene, Oregon                          ;  44  3 16 N   ; 123  5 30 W   ; 128.6
Eureka, California                      ;  40 48  8 N   ; 124  9 46 W   ;  13.7
European Southern Observatory (NTT)     ;  29 15 24 S   ;  70 43 48 W   ;2347
European Southern Observatory (VLT)     ;  24 51  0 S   ;  70 27  0 W   ;2640
Evansville, Indiana                     ;  37 58 20 N   ;  87 34 21 W   ; 117.3
Fall River, Massachusetts               ;  41 42  6 N   ;  71  9 18 W   ;  12.2
Fargo, North Dakota                     ;  46 52 30 N   ;  96 47 18 W   ; 274.3
Flagstaff, Arizona                      ;  35 11 36 N   ; 111 39  6 W   ;2103.1
Flint, Michigan                         ;  43  0 50 N   ;  83 41 33 W   ; 228.6
Fort Smith, Arkansas                    ;  35 23 10 N   ;  94 25 36 W   ; 134.1
Fort Wayne, Indiana                     ;  41  4 21 N   ;  85  8 26 W   ; 240.8
Fort Worth, Texas                       ;  32 44 55 N   ;  97 19 44 W   ; 204.2
Frankfurt, Germany                      ;  50  3  0 N   ;  08 24  0 E   ;  -1.0
Fresno, California                      ;  36 44 12 N   ; 119 47 11 W   ;  86.9
Gadsden, Alabama                        ;  34  0 57 N   ;  86  0 41 W   ; 169.2
Gainesville, Florida                    ;  29 38 56 N   ;  82 19 19 W   ;  53.3
Gallup, New Mexico                      ;  35 31 30 N   ; 108 44 30 W   ;1993.4
Galveston, Texas                        ;  29 18 10 N   ;  94 47 43 W   ;   1.5
Gary, Indiana                           ;  41 36 12 N   ;  87 20 19 W   ; 179.8
Gemini Telescope (north)                ;  19 49  0 N   ; 155 28  0 W   ;4100
Gemini Telescope (south)                ;  30 21  0 S   ;  70 49  0 W   ;2725
