Status,OID,Name,Agency Representative,Abbreviation,Aliases,Operating Location,Expected Launch Date,Expected Mission End Date,Transmitting Frequency Bands,Special Request,Simulator,Family,Protocols,Other Protocols,Description,More Info,Requestor Contact,Requestor Organization,Notes,References,Created By,Creation date,Updated By,Update date
Assigned,1.3.112.4.7.251,ISEE-3,J. L. Green  [NASA George C. Marshall Space Flight Center],ISEE-3,[],,,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.64,1.3.112.4.1.19.3,,[],1.3.112.4.2.64,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:11.673448+00:00
Assigned,1.3.112.4.7.252,ST3COLL-F,Badri Younes  [NASA Goddard Space Flight Center],ST3COLL-F,[],,,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.69,1.3.112.4.1.19.1,,[],1.3.112.4.2.69,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:11.686184+00:00
Assigned,1.3.112.4.7.253,NI-ALPHA 359,Nicolas Bobrinsky  [European Space Agency],NI-ALPHA-359,[],,2002-12,,TC: tbd;TLM: tbd;,,False,CCSDS Standard,[],[],,,1.3.112.4.2.1,1.3.112.4.1.85,,[],1.3.112.4.2.1,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:11.698584+00:00
Assigned,1.3.112.4.7.254,ST3COLL-T,Badri Younes  [NASA Goddard Space Flight Center],ST3COLL-T,[],,,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.69,1.3.112.4.1.19.1,,[],1.3.112.4.2.69,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:11.711109+00:00
Assigned,1.3.112.4.7.255,"MRO,Sim",Roger D. Porter  [NASA Goddard Space Flight Center],MROSim,[],,,,"TC: X-Band 7 GHz;TLM: X-Band 8 GHz, Ka-Band 32 GHz;",,True,CCSDS Standard,[],[],,,1.3.112.4.2.63,1.3.112.4.1.19.1,,[],1.3.112.4.2.63,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:11.723796+00:00
Assigned,1.3.112.4.7.256,SNOE,Joseph Deskevich  [National Aeronautics and Space Administration],SNOE,[],,,,TC: 2092.9621 MHz;TLM: 2272.9 MHz;,,False,CCSDS Standard,[],[],Student Nitric Oxide Experiment,,1.3.112.4.2.62,1.3.112.4.1.19.1,,[],1.3.112.4.2.62,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:11.737688+00:00
Assigned,1.3.112.4.7.257,SIRIUS 2,Erhard Jabs  [European Space Agency],SIRIUS-2,[],,1997-11,,"TC: S-Band;TLM: S-Band, Ku-Band;",,False,CCSDS Standard,[],[],,http://www.nsab-sirius.com/,1.3.112.4.2.72,1.3.112.4.1.12,,[],1.3.112.4.2.72,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:11.751630+00:00
Assigned,1.3.112.4.7.258,SIRIUS2(SIM),Erhard Jabs  [European Space Agency],SIRIUS2SIM,[],,1997-11,,"TC: S-Band;TLM: S-Band, Ku-Band;",,True,CCSDS Standard,[],[],,,1.3.112.4.2.72,1.3.112.4.1.12,,[],1.3.112.4.2.72,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:11.764778+00:00
Assigned,1.3.112.4.7.259,CORIOLIS,Badri Younes  [NASA Goddard Space Flight Center],CORIOLIS,[],Near Earth,,,TC: 8075 MHz;,,False,CCSDS Standard,[],[],,,1.3.112.4.2.69,1.3.112.4.1.19.1,,[],1.3.112.4.2.69,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:11.778228+00:00
Assigned,1.3.112.4.7.260,ASTRA 1K(SIM),Nicolas Bobrinsky  [European Space Agency],ASTRA-1KSIM,[],,2001-05,,"TC: 14010.5 MHz, 14252.5 MHz;TLM: 11692.5 MHz;",,True,CCSDS Standard,[],[],,,1.3.112.4.2.70,1.3.112.4.1.12,,[],1.3.112.4.2.70,2017-05-30 13:42:37+00:00,1.3.112.4.2.3,2021-05-14 17:58:11.790765+00:00
Assigned,1.3.112.4.7.261,PICARD,Roland Ivarnez  [Centre National d'Etudes Spatiales],PICARD,[],,In late of 2002,,,,False,CCSDS Standard,[],[],Solar Study,http://smsc.cnes.fr/PICARD/index.htm,1.3.112.4.2.75,1.3.112.4.1.8,,[],1.3.112.4.2.75,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:11.804952+00:00
Assigned,1.3.112.4.7.262,DEMETER,Roland Ivarnez  [Centre National d'Etudes Spatiales],DEMETER,[],,2002-02,,,,False,CCSDS Standard,[],[],Detection of Electro-Magnetic Emission Transmitted from Earthquake Regions,http://smsc.cnes.fr/DEMETER/index.htm,1.3.112.4.2.75,1.3.112.4.1.8,,[],1.3.112.4.2.75,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:11.818721+00:00
Assigned,1.3.112.4.7.263,PIC+DEM_SIM,Roland Ivarnez  [Centre National d'Etudes Spatiales],PICDEM_SIM,[],,,,,,True,CCSDS Standard,[],[],,,1.3.112.4.2.75,1.3.112.4.1.8,,[],1.3.112.4.2.75,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:11.831675+00:00
Assigned,1.3.112.4.7.264,HOTBIRD 6,Nicolas Bobrinsky  [European Space Agency],HOTBIRD-6,[],,End of 2001,,"TC: 2090.1990 MHz,13997.500 MHz;TLM: 2269.8130 MHz, 11700.6 MHz;",,False,CCSDS Standard,[],[],Telecommunications Satellite,http://www.eutelsat.com/satellites/13ehb6.html,1.3.112.4.2.70,1.3.112.4.1.12,,[],1.3.112.4.2.70,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:11.844239+00:00
Assigned,1.3.112.4.7.265,NEW BIRD,Nicolas Bobrinsky  [European Space Agency],NEW-BIRD,[],,Mid 2001,,TC: 13751.750 MHz;TLM: 11706.000 MHz;,,False,CCSDS Standard,[],[],,,1.3.112.4.2.70,1.3.112.4.1.12,,[],1.3.112.4.2.70,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:11.856864+00:00
Assigned,1.3.112.4.7.266,KOMPSAT-2,Dr. Eunsup Sim  [Korea Aerospace Research Institute],KOMPSAT-2,[],,2004-03,,TC: 2034.747 MHz;,,False,CCSDS Standard,[],[],Korea Multi-purpose Satellite,http://www.kari.re.kr/english/,1.3.112.4.2.47,1.3.112.4.1.43,,[],1.3.112.4.2.47,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:11.871874+00:00
Assigned,1.3.112.4.7.267,INMARSAT 4F1,Nicolas Bobrinsky  [European Space Agency],INMARSAT-4F1,[],,2003-10,,TC: 6338.5 MHz;TLM: 3947.000 MHz;,,False,CCSDS Standard,[],[],INternational MAritime SATellite 4F1,,1.3.112.4.2.1,1.3.112.4.1.87,,[],1.3.112.4.2.1,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:11.888139+00:00
Assigned,1.3.112.4.7.268,INMARSAT 4F2,Nicolas Bobrinsky  [European Space Agency],INMARSAT-4F2,[],,2004-01,,TC: 6338.5 MHz;TLM: 3947.000 MHz;,,False,CCSDS Standard,[],[],INternational MAritime SATellite 4F2,,1.3.112.4.2.1,1.3.112.4.1.87,,[],1.3.112.4.2.1,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:11.909909+00:00
Assigned,1.3.112.4.7.269,INMARSAT 4F3,Nicolas Bobrinsky  [European Space Agency],INMARSAT-4F3,[],,2004-04,,TC: 6338.5 MHz;TLM: 3947.000 MHz;,,False,CCSDS Standard,[],[],INternational MAritime SATellite 4F3,,1.3.112.4.2.1,1.3.112.4.1.87,,[],1.3.112.4.2.1,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:11.925178+00:00
Assigned,1.3.112.4.7.270,ST5-1,Badri Younes  [NASA Goddard Space Flight Center],ST5-1,[],,,,TC: 7209.125 MHz;TLM: 8470 MHz;,,False,CCSDS Standard,[],[],Space Technology 5,http://nmp.jpl.nasa.gov/st5/,1.3.112.4.2.69,1.3.112.4.1.19.1,,[],1.3.112.4.2.69,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:11.940794+00:00
