Air.KAO         Kuiper Airborne Observatory 
Sa.ANS          ANS, Astronomische Nederlandse Satelliet [or Astronomical Netherlands Satellite] 
Sa.ARGOS        ARGOS, Advanced Research and Global Observation Satellite
Sa.ARIELV       Ariel V satellite 
Sa.ASCA         ASCA, Advanced Satellite for Cosmology and Astrophysics 
Sa.BeppoSAX     BeppoSAX, Italian/Dutch X-ray satellite 
Sa.CGRO         CGRO, Compton Gamma Ray Observatory satellite 
Sa.CHIPS        CHIPS, Cosmic Hot Interstellar Plasma Spectrometer satellite
Sa.COBE         COBE, COsmic Background Explorer satellite 
Sa.COPERNICUS   Copernicus, Orbiting Astronomical Observatory 3 satellite 
Sa.COSB         Cos-B Satellite 
Sa.CXO          CXO, Chandra X-ray Observatory satellite 
Sa.DMSP         DMSP, Defense Meteorological Satellite Program 
Sa.EO           Einstein, High Energy Astronomy Observatory 2 satellite
Sa.EURECA       EURECA, EUropean REtrievable CArrier satellite 
Sa.EUVE         EUVE, Extreme UltraViolet Explorer satellite 
Sa.EXOSAT       EXOSAT, European Space Agency's X-ray Observatory satellite
Sa.FAST         FAST, Fast Auroral SnapshoT explorer satellite 
Sa.FUSE         FUSE, Far Ultraviolet Spectroscopic Explorer satellite 
Sa.GALEX        GALEX, Galaxy Evolution Explorer satellite 
Sa.GINGA        Ginga, third Japanese X-ray satellite 
Sa.GRANAT       Granat, Russian X-ray satellite 
Sa.HAKUCHO      Hakucho, first Japanese xray satellite 
Sa.HALCA        HALCA, Japanese VLBI Space Observatory Program satellite
Sa.HEAO-1       HEAO-1, High Energy Astronomy Observatory 1 satellite
Sa.HEAO-3       HEAO-3, High Energy Astronomy Observatory 3 satellite 
Sa.HETE-2       HETE-2, High Energy Transient Explorer 2 satellite
Sa.HIPPARCOS    Hipparcos Space Astrometry Mission satellite 
Sa.HST          Hubble Space Telescope satellite 
Sa.INTEGRAL     INTEGRAL, International Gamma-Ray Astrophysics Laboratory satellite 
Sa.IRAS         IRAS, InfraRed Astronomical Satellite 
Sa.ISO          ISO, Infrared Space Observatory satellite 
Sa.IUE          IUE, International Ultraviolet Explorer 
Sa.Koronas      Koronas, solar activity monitor satellites 
Sa.MSX          MSX, Midcourse Space Experiment
Sa.NEAR         NEAR, Near-Earth Asteroid Rendezvous satellite
Sa.ORFEUS       ORFEUS, Orbiting and Retrievable Far and Extreme Ultraviolet Spectrometer satellite
Sa.OSO7         Orbiting Solar Observatory 7 satellite 
Sa.OSO8         Orbiting Solar Observatory 8 satellite 
